DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
103.48,12.25,109.278,17.769,69.074,61.143,55.849,60.202,5.458,9.61,1.978,15.802,85.431,8.21,2036.344,0.036,2.452
103.56,12.25,109.27,17.769,67.432,61.138,55.846,59.626,5.613,9.618,1.978,15.832,85.495,8.214,2037.952,0,2.49
103.63,12.25,109.262,17.769,60.2,61.134,55.838,58.919,5.717,9.627,1.978,15.867,85.576,8.212,2039.258,0.013,2.518
103.71,12.25,109.253,17.77,56.253,61.129,55.823,58.43,5.739,9.637,1.978,15.903,85.671,8.204,2039.626,0.057,2.535
103.78,12.25,109.245,17.77,61.048,61.124,55.807,58.136,5.497,9.646,1.979,15.934,85.779,8.194,2038.535,0.028,2.533
103.86,12.25,109.236,17.77,69.865,61.119,55.799,57.609,5.268,9.652,1.978,15.958,85.898,8.185,2036.371,0.081,2.517
103.94,12.25,109.228,17.77,73.602,61.114,55.8,57.487,5.355,9.656,1.978,15.973,86.025,8.18,2033.871,0.099,2.484
104.01,12.25,109.219,17.77,71.578,61.109,55.803,57.464,5.574,9.658,1.978,15.982,86.16,8.18,2031.739,0.136,2.457
104.09,12.25,109.21,17.771,69.337,61.104,55.801,56.764,6.065,9.659,1.978,15.986,86.301,8.184,2030.631,0.149,2.444
104.17,12.25,109.202,17.771,68.367,61.099,55.793,55.713,6.353,9.66,1.978,15.989,86.447,8.19,2030.904,0.269,2.458
104.24,12.25,109.193,17.771,66.234,61.093,55.783,54.785,6.178,9.661,1.979,15.991,86.595,8.193,2033.108,0.187,2.484
104.32,12.25,109.184,17.771,61.367,61.088,55.774,54.464,6.544,9.661,1.979,15.993,86.745,8.193,2037.498,0.056,2.524
104.39,12.25,109.175,17.771,56.544,61.083,55.761,55.046,6.368,9.661,1.979,15.992,86.895,8.188,2043.663,0.19,2.567
104.47,12.25,109.167,17.772,54.49,61.078,55.739,56.209,6.607,9.66,1.978,15.991,87.045,8.18,2050.935,0.19,2.577
104.55,12.25,109.158,17.772,55.695,61.073,55.707,57.303,6.388,9.659,1.978,15.988,87.194,8.17,2058.296,0.19,2.555
104.62,12.25,109.149,17.772,55.945,61.068,55.679,57.74,6.071,9.659,1.978,15.986,87.342,8.163,2064.176,0.235,2.498
104.7,12.25,109.141,17.772,54.143,61.063,55.667,56.781,5.772,9.658,1.978,15.985,87.487,8.159,2067.059,0.231,2.439
104.78,12.25,109.132,17.772,51.948,61.058,55.676,54.627,5.884,9.657,1.978,15.985,87.629,8.161,2066.249,0.23,2.398
104.85,12.25,109.123,17.772,49.969,61.053,55.698,52.305,6.135,9.657,1.978,15.985,87.768,8.166,2062.355,0.351,2.409
104.93,12.25,109.115,17.773,48.122,61.048,55.721,50.81,5.757,9.654,1.978,15.974,87.903,8.171,2056.907,0.362,2.397
